Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
210,Ethical & Professional Issues,2011,fa,3.7638541666666665,96,23,45,9,10,6,0,0,2,0,0,1,0,0,2011-fa
210,Ethical & Professional Issues,2011,sp,3.650847457627118,59,0,29,21,2,2,1,1,1,1,0,1,0,0,2011-sp
210,Ethical & Professional Issues,2012,fa,3.6534375,96,28,29,20,5,6,4,0,1,0,0,2,0,1,2012-fa
210,Ethical & Professional Issues,2013,sp,3.385842696629213,89,0,46,1,0,31,1,0,8,0,0,2,0,0,2013-sp
210,Ethical & Professional Issues,2014,fa,3.5145108695652167,184,12,89,17,18,29,2,2,9,1,0,3,1,1,2014-fa
210,Ethical & Professional Issues,2014,sp,3.3346408839779,181,5,56,21,54,23,2,3,5,1,2,3,6,0,2014-sp
210,Ethical & Professional Issues,2015,fa,3.6544565217391303,184,3,106,32,10,21,5,1,3,0,0,1,0,2,2015-fa
210,Ethical & Professional Issues,2015,sp,3.431511627906977,258,6,111,29,33,42,8,6,17,2,1,1,0,2,2015-sp
210,Ethical & Professional Issues,2016,fa,3.735463917525773,194,8,128,17,16,15,4,1,3,0,0,1,0,1,2016-fa
210,Ethical & Professional Issues,2016,sp,3.4251851851851853,189,3,81,25,18,35,8,8,6,1,0,1,0,3,2016-sp
210,Ethical & Professional Issues,2017,fa,3.639107142857142,168,32,90,15,5,12,1,1,4,1,0,1,0,6,2017-fa
210,Ethical & Professional Issues,2017,sp,3.769125,160,10,108,20,3,12,2,2,0,1,0,0,0,2,2017-sp
210,Ethical & Professional Issues,2018,fa,3.846206896551725,145,27,87,16,6,7,0,0,0,0,0,2,0,0,2018-fa
210,Ethical & Professional Issues,2018,sp,3.8115172413793097,145,49,71,5,5,10,1,0,2,0,0,1,0,1,2018-sp
225,Data Structures,2010,fa,2.794318181818181,264,4,69,13,17,65,5,5,38,14,0,22,0,12,2010-fa
225,Data Structures,2010,sp,2.5489542483660133,153,1,32,6,9,34,5,5,32,0,0,15,0,14,2010-sp
225,Data Structures,2011,fa,2.9744923076923078,325,3,101,20,19,72,16,21,34,17,0,10,0,12,2011-fa
225,Data Structures,2011,sp,3.0521551724137934,232,0,72,35,12,49,11,9,14,5,0,18,0,7,2011-sp
225,Data Structures,2012,fa,3.003018867924528,371,3,109,58,23,70,14,13,39,0,0,21,0,21,2012-fa
225,Data Structures,2012,sp,2.6003636363636367,55,1,12,6,4,8,2,3,4,5,0,3,0,7,2012-sp
225,Data Structures,2013,fa,3.1268627450980397,459,5,165,61,24,61,42,23,30,13,0,21,0,14,2013-fa
225,Data Structures,2013,sp,2.851329923273657,391,15,77,75,22,49,25,17,56,0,0,33,0,22,2013-sp
