YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2017-sp,196,Freshman Honors,4,25,11,8,2,2,3,0,0,0,0,0,0,"Chapman, William L",2017,55,52.72727272727272,3.660727272727273,sp
2016-sp,196,Freshman Honors,30,45,17,11,9,0,0,1,1,0,0,0,3,"Chapman, William L",2016,117,64.1025641025641,3.6725641025641025,sp
2016-fa,196,Freshman Honors,27,104,0,2,3,1,0,4,0,0,0,0,1,"Chapman, William L",2016,142,92.25352112676056,3.87556338028169,fa
2010-fa,210,Ethical & Professional Issues,25,59,2,3,2,1,0,2,0,0,0,0,1,"Woodbury, Marsha C",2010,95,88.42105263157895,3.8526315789473684,fa
2010-sp,210,Ethical & Professional Issues,0,25,17,6,1,0,3,3,0,0,0,0,0,"Loui, Michael C",2010,55,45.45454545454545,3.6065454545454543,sp
2011-fa,210,Ethical & Professional Issues,23,45,9,10,6,0,0,2,0,0,1,0,0,"Woodbury, Marsha C",2011,96,70.83333333333334,3.7638541666666665,fa
2011-sp,210,Ethical & Professional Issues,0,29,21,2,2,1,1,1,1,0,1,0,0,"Loui, Michael C",2011,59,49.152542372881356,3.650847457627118,sp
2012-fa,210,Ethical & Professional Issues,28,29,20,5,6,4,0,1,0,0,2,0,1,"Woodbury, Marsha C",2012,96,59.375,3.6534374999999994,fa
2013-sp,210,Ethical & Professional Issues,0,46,1,0,31,1,0,8,0,0,2,0,0,"Miller, Keith W",2013,89,51.68539325842697,3.3858426966292132,sp
2014-fa,210,Ethical & Professional Issues,12,89,17,18,29,2,2,9,1,0,3,1,1,"Kirlik, Alex",2014,184,54.891304347826086,3.5145108695652167,fa
2014-sp,210,Ethical & Professional Issues,5,56,21,54,23,2,3,5,1,2,3,6,0,"Kirlik, Alex",2014,181,33.70165745856354,3.3346408839779,sp
2015-fa,210,Ethical & Professional Issues,3,106,32,10,21,5,1,3,0,0,1,0,2,"Cunningham, Ryan M",2015,184,59.2391304347826,3.6544565217391307,fa
2015-sp,210,Ethical & Professional Issues,6,111,29,33,42,8,6,17,2,1,1,0,2,"Cunningham, Ryan M",2015,258,45.348837209302324,3.431511627906977,sp
2016-fa,210,Ethical & Professional Issues,8,128,17,16,15,4,1,3,0,0,1,0,1,"Cunningham, Ryan M",2016,194,70.10309278350515,3.735463917525773,fa
2016-sp,210,Ethical & Professional Issues,3,81,25,18,35,8,8,6,1,0,1,0,3,"Cunningham, Ryan M",2016,189,44.44444444444444,3.4251851851851853,sp
2017-fa,210,Ethical & Professional Issues,32,90,15,5,12,1,1,4,1,0,1,0,6,"Cunningham, Ryan M",2017,168,72.61904761904762,3.639107142857142,fa
