YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2010-fa,465,User Interface Design,0,12,5,6,15,5,0,3,1,0,0,0,0,"Bailey, Brian P",2010,47,25.53191489361702,3.241489361702127,fa
2011-fa,465,User Interface Design,2,8,2,6,11,9,3,1,1,0,0,0,1,"Bailey, Brian P",2011,44,22.727272727272727,3.068409090909091,fa
2013-fa,465,User Interface Design,0,22,29,14,17,6,0,1,0,0,1,0,0,"Fu, Wai-Tat",2013,90,24.444444444444443,3.4563333333333333,fa
2013-sp,465,User Interface Design,5,13,13,13,19,6,3,4,0,0,4,0,1,"Fu, Wai-Tat",2013,81,22.22222222222222,3.1482716049382717,sp
2012-fa,465,User Interface Design,1,10,6,1,12,4,6,8,0,0,1,0,0,"Bailey, Brian P",2012,49,22.448979591836736,3.0002040816326527,fa
2016-sp,465,User Interface Design,3,41,49,35,30,8,5,0,1,1,0,0,2,"Kirlik, Alex",2016,175,25.142857142857146,3.4193714285714285,sp
2015-sp,465,User Interface Design,2,13,24,21,35,22,13,12,5,0,2,0,1,"Fu, Wai-Tat",2015,150,10.0,2.9759333333333338,sp
2016-fa,465,User Interface Design,3,15,19,24,72,7,14,10,3,0,1,0,0,"Bailey, Brian P",2016,168,10.714285714285714,3.065297619047619,fa
2017-fa,465,User Interface Design,1,24,21,9,76,21,7,4,5,2,1,0,1,"Bailey, Brian P",2017,172,14.534883720930234,3.0664534883720926,fa
2017-sp,465,User Interface Design,1,29,59,31,33,18,4,3,1,0,1,0,0,"Fu, Wai-Tat",2017,180,16.666666666666664,3.3600555555555554,sp
2014-fa,465,User Interface Design,1,26,13,24,62,17,11,20,3,0,0,0,1,"Bailey, Brian P",2014,178,15.168539325842698,3.020561797752809,fa
2015-fa,465,User Interface Design,6,24,28,19,56,20,10,16,4,0,2,0,1,"Fu, Wai-Tat",2015,186,16.129032258064516,3.0720967741935477,fa
2018-sp,465,User Interface Design,15,40,24,21,25,12,5,6,3,0,3,0,2,"Fu, Wai-Tat",2018,156,35.256410256410255,3.31224358974359,sp
