Course Title,Number,Term,Year,GPA
Progrmg Languages & Compilers,421,fa,2017,3.510202429149797
Progrmg Languages & Compilers,421,sp,2017,3.4443006993006993
Progrmg Languages & Compilers,421,fa,2018,3.560314136125654
Progrmg Languages & Compilers,421,sp,2018,3.520503597122302
Distributed Systems,425,fa,2010,3.268
Distributed Systems,425,sp,2010,2.559117647058823
Distributed Systems,425,fa,2011,2.605581395348837
Distributed Systems,425,sp,2011,3.418837209302325
Distributed Systems,425,fa,2012,3.588026315789474
Distributed Systems,425,sp,2012,3.473333333333333
Distributed Systems,425,fa,2013,3.6741584158415845
Distributed Systems,425,sp,2013,3.0996875000000004
Distributed Systems,425,fa,2014,3.3539880952380954
Distributed Systems,425,sp,2014,3.2553333333333327
Distributed Systems,425,fa,2015,3.4982653061224487
Distributed Systems,425,sp,2015,3.0025000000000004
Distributed Systems,425,fa,2016,3.346747572815534
Distributed Systems,425,sp,2016,3.097151515151515
Distributed Systems,425,fa,2017,3.254365079365079
Distributed Systems,425,sp,2017,2.938630952380952
Distributed Systems,425,fa,2018,3.40280701754386
Distributed Systems,425,sp,2018,3.2126696832579182
Communication Networks,438,fa,2010,3.231346153846154
Communication Networks,438,sp,2010,2.5321621621621624
Communication Networks,438,sp,2011,2.571714285714286
Communication Networks,438,fa,2012,3.0374603174603174
Communication Networks,438,fa,2013,3.091547619047619
Communication Networks,438,sp,2013,2.681594202898551
Communication Networks,438,fa,2014,3.575131578947368
Communication Networks,438,sp,2014,2.5569999999999995
Communication Networks,438,fa,2015,3.605632183908046
Communication Networks,438,sp,2015,2.482553191489362
Communication Networks,438,fa,2016,2.617530864197531
Communication Networks,438,sp,2016,2.666867469879518
Communication Networks,438,fa,2017,3.390987654320987
Communication Networks,438,sp,2017,2.727228915662651
Communication Networks,438,fa,2018,3.439009009009009
Communication Networks,438,sp,2018,2.3753124999999997
Artificial Intelligence,440,fa,2010,2.887384615384616
Artificial Intelligence,440,sp,2010,2.9900000000000007
Artificial Intelligence,440,fa,2011,3.0307692307692307
Artificial Intelligence,440,sp,2011,2.9092391304347824
Artificial Intelligence,440,fa,2012,3.173090909090909
Artificial Intelligence,440,fa,2013,3.2280645161290322
Artificial Intelligence,440,sp,2013,2.83
Artificial Intelligence,440,fa,2014,3.277310924369748
Artificial Intelligence,440,sp,2014,2.95328125
Artificial Intelligence,440,fa,2015,3.2004494382022464
Artificial Intelligence,440,sp,2015,3.136964285714286
Artificial Intelligence,440,fa,2016,3.146996197718631
Artificial Intelligence,440,sp,2016,3.055214285714286
Artificial Intelligence,440,fa,2017,3.2185906040268457
Artificial Intelligence,440,sp,2017,2.990119760479042
Artificial Intelligence,440,fa,2018,3.336173285198556
Artificial Intelligence,440,sp,2018,3.3914838709677424
Computer Security I,461,fa,2010,3.2167441860465114
Computer Security I,461,sp,2010,3.0140277777777778
Computer Security I,461,fa,2011,3.002627118644068
Computer Security I,461,fa,2012,2.9773154362416108
Computer Security I,461,fa,2013,3.1337894736842102
Computer Security I,461,sp,2013,3.0367073170731707
Computer Security I,461,fa,2014,3.5564673913043485
Computer Security I,461,sp,2014,2.946086956521739
Computer Security I,461,fa,2015,2.9000666666666666
Computer Security I,461,sp,2015,2.99184
Computer Security I,461,fa,2016,2.9455345911949684
Computer Security I,461,sp,2016,2.8619727891156463
Computer Security I,461,fa,2017,3.3722897196261687
Computer Security I,461,sp,2017,2.9536708860759493
Computer Security I,461,fa,2018,3.341411764705882
Computer Security I,461,sp,2018,2.8530630630630633
User Interface Design,465,fa,2010,3.241489361702127
User Interface Design,465,fa,2011,3.068409090909091
User Interface Design,465,fa,2012,3.0002040816326527
User Interface Design,465,fa,2013,3.4563333333333333
User Interface Design,465,sp,2013,3.1482716049382717
User Interface Design,465,fa,2014,3.020561797752809
User Interface Design,465,fa,2015,3.0720967741935477
User Interface Design,465,sp,2015,2.9759333333333338
User Interface Design,465,fa,2016,3.065297619047619
User Interface Design,465,sp,2016,3.4193714285714285
User Interface Design,465,fa,2017,3.0664534883720926
User Interface Design,465,sp,2017,3.3600555555555554
User Interface Design,465,fa,2018,3.3750769230769224
User Interface Design,465,sp,2018,3.31224358974359
